"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Austria","AUT","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","184973007421.979","210232831512.394","258155807310.987","283465994576.956","222808608562.128","237695822696.671","278565974589.076","261264913392.007","256749171127.056","266343007266.972","219573551042.184","233777827782.258","254894508699.237",
"Azerbaijan","AZE","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","794633000","807981000","1172833000","1047722000","1293062000","2174015000","2410233000","2692274000","3090917000","4188596000","8341331000","13994393000","22682991000","32484232000","23310691000","28910312000","38057559000","37837472000","36941498000","34230672000","21288283000","18499727000","21125504000",
"Burundi","BDI","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","128361121.296162","142943375.183504","113172273.979846","139164500.160262","117447478.991597","97661144.5380071","128272098.674518","108420119.441582","99686959.3870994","103675852.174343","139727535.709639","57361490.3549722","97018643.8232728","72089243.0753426","61317954.9739381","55410264.4748892","46240676.6597352","39380857.1768799","46101217.4170069","65547370.3333636","98744965.492522","97780313.2038605","98301026.1959161","163850385.394169","119721016.247633","181856512.772041","243125987.915057","235581819.65495","235021576.981838","220018642.000319","193458567.613046","193246190.480028","",
"Belgium","BEL","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","231975464419.693","258563821335.009","310181164903.492","344348161671.182","381695453767.822","461857114349.856","521488562314.57","409266725238.956","440580479346.546","498146106745.759","479494361331.478","495785959332.096","503713563310.918","417670141898.188","442479960506.591","477893219765.869",
"Benin","BEN","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","119071226.500372","147727924.682054","119878387.72991","165027888.819832","168163148.790627","182313370.764308","241301151.452781","465422750.340528","194022479.719528","187411086.920863","289493237.897806","342115893.712485","383187230.243446","460509692.71125","309286053.02778","293959436.637027","376084255.218314","543594627.467718","535263274.488452","577854249.982172","558884142.061409","637738362.943247","685560226.569882","565414968.870742","587673628.500003","625982042.177699","551852096.917269","543013356.271049","620794724.728333","735918735.412043","807051598.854226","797284548.287053","976360024.059294","1385914952.0314","1675121027.91343","1488594679.18111","1707389931.62919","1765497659.44436","1968767239.42251","2650541313.95273","3197445649.32658","2129608359.18067","2238690836.61641","",
"Burkina Faso","BFA","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","583197306.179895","728168295.788534","803944721.392526","1069154490.82983","1140431246.19119","1980770270.51536","2913210037.65245","3393230013.01274","3280488517.43903","3366473830.03945","2912109808.87266","3445716970.8781","",
"Bangladesh","BGD","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","483588161.486697","567120159.745643","684784580.746181","852604342.478572","1081034789.04313","1043424141.64224","1015542802.0184","975782628.678204","1207351321.42226","1278986213.32446","1126729575.3453","1372242422.50266","1623516532.30955","1727889680.8181","2128166694.48457","2189663684.16161","2681277318.50376","3174232178.35729","3674705067.31616","4701572921.84713","4743506599.82131","5613818705.67122","5956824418.79564","6330290046.40151","7292611567.70184","6913563236.58279","6941782608.39971","7984802607.16541","9219984982.16512","11322219884.6255","13064944732.013","14334394905.4761","17687393265.7427","17082688770.8273","21764077876.4401","27147928001.3128","27768035486.5529","31767533486.4156","33138217973.1849","35107953649.4788","37674326147.7374","39278039060.3435",
"Bulgaria","BGR","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","9443000000","9518000000","9261000000","10049000000","11117000000","11520000000","9958000000","11570000000","10551000000","9618000000","7070000000","4192500000","5151800000","4990400000","5276600000","6926100000","6437200000","5030100000","6287575957.00867","6060126535.11979","7320635450.11212","7953381427.12852","8466750262.24032","11322108577.5908","15480668737.8113","17673875415.8795","21972412182.011","27487439318.7671","31897081760.143","24384475267.2182","26143690000","34901600000","33592910000","37139440000","38087610000","33118700000","35330330000","39398950000",
"Bahrain","BHR","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","1404804049.06398","1786151390.91417","2180968032.80922","2362865211.37048","2924918281.24677","4080103560.63258","5055851077.2762","4752420225.40538","3901861712.50496","4353457451.63282","4130851063.82978","3241755319.14893","3575265957.44681","3576063829.78724","4018351063.82978","9615957446.80851","7442021276.59574","6533510638.29787","6659042745.0522","7548139000.49166","8884529412.0722","9183446133.25328","9291199477.59858","8758981988.90734","10340170861.8776","13504024037.2187","10400747220.8226","8634902592.28317","9247241353.03839","12881029141.0996","18412687109.4652","23295926212.3131","27687960947.7997","28319383826.1134","17384881832.8324","19347876092.4707","29767819148.9362","33454032807.2441","36174962300.4805","34205194235.3993","27888067760.4066","26046276595.7447","28844946808.5106",
"Bahamas, The","BHS","Exports of goods, services and primary income (BoP, current US$)","BX.GSR.TOTL.CD","","","","","","","","","","","","","","","","","672000000.672","687800000.6878","814400000.8144","928700000.9287","1136100001.1361","1136600001.1366","1134800001.1348","1239300001.2393","1303800000.5812","1512800000","1583500000","1608500000","1601300000","1931400000","2015700000","1781300000","1709500000","1763400000","1770300000","1842800000","1936100000","1993600000","2043800000","2600200000","2754920000","2405800000","2591599201.85","2560320000","2801280000","3157026153.259","3259010000","3522484138.25","3603116609.6","3119235000","3234768000","3382563000","3725090600","3674164000","3613851248.32","3460395303.195","3419950940.6006","",
